CS Inch	CS Tol Inch	ID Inch	ID Tol Inch	CS mm	CS Tol mm	ID mm	ID Tol mm	Dash Size	CS Inch
0.1030000	0.003	1.487	0.012	2.620	0.080	37.770	0.300	-128	0.103
0.1030000	0.003	1.549	0.015	2.620	0.080	39.340	0.380	-129	0.103
0.1030000	0.003	1.612	0.015	2.620	0.080	40.940	0.380	-130	0.103
0.1030000	0.003	1.674	0.015	2.620	0.080	42.520	0.380	-131	0.103
0.1030000	0.003	1.737	0.015	2.620	0.080	44.120	0.380	-132	0.103
0.1030000	0.003	1.799	0.015	2.620	0.080	45.690	0.380	-133	0.103
0.1030000	0.003	1.862	0.015	2.620	0.080	47.290	0.380	-134	0.103
0.1030000	0.003	1.925	0.017	2.620	0.080	48.900	0.430	-135	0.103
0.1030000	0.003	1.987	0.017	2.620	0.080	50.470	0.430	-136	0.103
0.1030000	0.003	2.050	0.017	2.620	0.080	52.070	0.430	-137	0.103
0.1030000	0.003	2.112	0.017	2.620	0.080	53.640	0.430	-138	0.103
0.1030000	0.003	2.175	0.017	2.620	0.080	55.250	0.430	-139	0.103
0.1030000	0.003	2.237	0.017	2.620	0.080	56.820	0.430	-140	0.103
0.1030000	0.003	2.300	0.020	2.620	0.080	58.420	0.510	-141	0.103
0.1030000	0.003	2.362	0.020	2.620	0.080	59.990	0.510	-142	0.103
0.1030000	0.003	2.425	0.020	2.620	0.080	61.600	0.510	-143	0.103
0.1030000	0.003	2.487	0.020	2.620	0.080	63.170	0.510	-144	0.103
0.1030000	0.003	2.550	0.020	2.620	0.080	64.770	0.510	-145	0.103
0.1030000	0.003	2.612	0.020	2.620	0.080	66.340	0.510	-146	0.103
0.1030000	0.003	2.675	0.022	2.620	0.080	67.950	0.560	-147	0.103
0.1030000	0.003	2.737	0.022	2.620	0.080	69.520	0.560	-148	0.103
0.1030000	0.003	2.800	0.022	2.620	0.080	71.120	0.560	-149	0.103
0.1030000	0.003	2.862	0.022	2.620	0.080	72.690	0.560	-150	0.103
0.1030000	0.003	2.987	0.024	2.620	0.080	75.870	0.610	-151	0.103
0.1030000	0.003	3.237	0.024	2.620	0.080	82.220	0.610	-152	0.103
0.1030000	0.003	3.487	0.024	2.620	0.080	88.570	0.610	-153	0.103
0.1030000	0.003	3.737	0.028	2.620	0.080	94.920	0.710	-154	0.103
0.1030000	0.003	3.987	0.028	2.620	0.080	101.270	0.710	-155	0.103
0.1030000	0.003	4.237	0.030	2.620	0.080	107.620	0.760	-156	0.103
0.1030000	0.003	4.487	0.030	2.620	0.080	113.970	0.760	-157	0.103
0.1030000	0.003	4.737	0.030	2.620	0.080	120.320	0.760	-158	0.103
0.1030000	0.003	4.987	0.035	2.620	0.080	126.670	0.890	-159	0.103
0.1030000	0.003	5.237	0.035	2.620	0.080	133.020	0.890	-160	0.103
0.1030000	0.003	5.487	0.035	2.620	0.080	139.370	0.890	-161	0.103
0.1030000	0.003	5.737	0.035	2.620	0.080	145.720	0.890	-162	0.103
0.1030000	0.003	5.987	0.035	2.620	0.080	152.070	0.890	-163	0.103
0.1030000	0.003	6.237	0.040	2.620	0.080	158.420	1.020	-164	0.103
0.1030000	0.003	6.487	0.040	2.620	0.080	164.770	1.020	-165	0.103
0.1030000	0.003	6.737	0.040	2.620	0.080	171.120	1.020	-166	0.103
0.1030000	0.003	6.987	0.040	2.620	0.080	177.470	1.020	-167	0.103
0.1030000	0.003	7.237	0.045	2.620	0.080	183.820	1.140	-168	0.103
0.1030000	0.003	7.487	0.045	2.620	0.080	190.170	1.140	-169	0.103
0.1030000	0.003	7.737	0.045	2.620	0.080	196.520	1.140	-170	0.103
0.1030000	0.003	7.987	0.045	2.620	0.080	202.870	1.140	-171	0.103
0.1030000	0.003	8.237	0.050	2.620	0.080	209.220	1.270	-172	0.103
0.1030000	0.003	8.487	0.050	2.620	0.080	215.570	1.270	-173	0.103
0.1030000	0.003	8.737	0.050	2.620	0.080	221.920	1.270	-174	0.103
0.1030000	0.003	8.987	0.050	2.620	0.080	228.270	1.270	-175	0.103
0.1030000	0.003	9.237	0.055	2.620	0.080	234.620	1.400	-176	0.103
0.1030000	0.003	9.487	0.055	2.620	0.080	240.970	1.400	-177	0.103
0.1030000	0.003	9.737	0.055	2.620	0.080	247.320	1.400	-178	0.103
0.1390000	0.004	0.171	0.005	3.530	0.100	4.340	0.130	-201	0.139
0.1390000	0.004	0.234	0.005	3.530	0.100	5.940	0.130	-202	0.139
0.1390000	0.004	0.296	0.005	3.530	0.100	7.520	0.130	-203	0.139
0.1390000	0.004	0.359	0.005	3.530	0.100	9.120	0.130	-204	0.139
0.1390000	0.004	0.421	0.005	3.530	0.100	10.690	0.130	-205	0.139
0.1390000	0.004	0.484	0.005	3.530	0.100	12.290	0.130	-206	0.139
0.1390000	0.004	0.546	0.007	3.530	0.100	13.870	0.180	-207	0.139
0.1390000	0.004	0.609	0.009	3.530	0.100	15.470	0.230	-208	0.139
