CS Inch	CS Tol Inch	ID Inch	ID Tol Inch	CS mm	CS Tol mm	ID mm	ID Tol mm	Dash Size	CS Inch
0.2750000	0.006	5.850	0.037	6.990	0.150	148.590	0.940	-436	0.275
0.2750000	0.006	5.975	0.037	6.990	0.150	151.770	0.940	-437	0.275
0.2750000	0.006	6.225	0.040	6.990	0.150	158.120	1.020	-438	0.275
0.2750000	0.006	6.475	0.040	6.990	0.150	164.470	1.020	-439	0.275
0.2750000	0.006	6.725	0.040	6.990	0.150	170.820	1.020	-440	0.275
0.2750000	0.006	6.975	0.040	6.990	0.150	177.170	1.020	-441	0.275
0.2750000	0.006	7.225	0.045	6.990	0.150	183.520	1.140	-442	0.275
0.2750000	0.006	7.475	0.045	6.990	0.150	189.870	1.140	-443	0.275
0.2750000	0.006	7.725	0.045	6.990	0.150	196.220	1.140	-444	0.275
0.2750000	0.006	7.975	0.045	6.990	0.150	202.570	1.140	-445	0.275
0.2750000	0.006	8.475	0.055	6.990	0.150	215.270	1.400	-446	0.275
0.2750000	0.006	8.975	0.055	6.990	0.150	227.970	1.400	-447	0.275
0.2750000	0.006	9.475	0.055	6.990	0.150	240.670	1.400	-448	0.275
0.2750000	0.006	9.975	0.055	6.990	0.150	253.370	1.400	-449	0.275
0.2750000	0.006	10.475	0.060	6.990	0.150	266.070	1.520	-450	0.275
0.2750000	0.006	10.975	0.060	6.990	0.150	278.770	1.520	-451	0.275
0.2750000	0.006	11.475	0.060	6.990	0.150	291.470	1.520	-452	0.275
0.2750000	0.006	11.975	0.060	6.990	0.150	304.170	1.520	-453	0.275
0.2750000	0.006	12.475	0.060	6.990	0.150	316.870	1.520	-454	0.275
0.2750000	0.006	12.975	0.060	6.990	0.150	329.570	1.520	-455	0.275
0.2750000	0.006	13.475	0.070	6.990	0.150	342.270	1.780	-456	0.275
0.2750000	0.006	13.975	0.070	6.990	0.150	354.970	1.780	-457	0.275
0.2750000	0.006	14.475	0.070	6.990	0.150	367.670	1.780	-458	0.275
0.2750000	0.006	14.975	0.070	6.990	0.150	380.370	1.780	-459	0.275
0.2750000	0.006	15.475	0.070	6.990	0.150	393.070	1.780	-460	0.275
0.2750000	0.006	15.955	0.075	6.990	0.150	405.260	1.910	-461	0.275
0.2750000	0.006	16.455	0.075	6.990	0.150	417.960	1.910	-462	0.275
0.2750000	0.006	16.955	0.080	6.990	0.150	430.660	2.030	-463	0.275
0.2750000	0.006	17.455	0.085	6.990	0.150	443.360	2.160	-464	0.275
0.2750000	0.006	17.955	0.085	6.990	0.150	456.060	2.160	-465	0.275
0.2750000	0.006	18.455	0.085	6.990	0.150	468.760	2.160	-466	0.275
0.2750000	0.006	18.955	0.090	6.990	0.150	481.460	2.290	-467	0.275
0.2750000	0.006	19.455	0.090	6.990	0.150	494.160	2.290	-468	0.275
0.2750000	0.006	19.955	0.095	6.990	0.150	506.860	2.410	-469	0.275
0.2750000	0.006	20.955	0.095	6.990	0.150	532.260	2.410	-470	0.275
0.2750000	0.006	21.955	0.100	6.990	0.150	557.660	2.540	-471	0.275
0.2750000	0.006	22.940	0.105	6.990	0.150	582.680	2.670	-472	0.275
0.2750000	0.006	23.940	0.110	6.990	0.150	608.080	2.790	-473	0.275
0.2750000	0.006	24.940	0.115	6.990	0.150	633.480	2.920	-474	0.275
0.2750000	0.006	25.940	0.120	6.990	0.150	658.880	3.050	-475	0.275
0.0560000	0.003	0.185	0.005	1.420	0.080	4.700	0.130	-901	0.056
0.0640000	0.003	0.239	0.005	1.630	0.080	6.070	0.130	-902	0.064
0.0640000	0.003	0.301	0.005	1.630	0.080	7.650	0.130	-903	0.064
0.0720000	0.003	0.351	0.005	1.830	0.080	8.920	0.130	-904	0.072
0.0720000	0.003	0.414	0.005	1.830	0.080	10.520	0.130	-905	0.072
0.0780000	0.003	0.468	0.005	1.980	0.080	11.890	0.130	-906	0.078
0.0820000	0.003	0.530	0.007	2.080	0.080	13.460	0.180	-907	0.082
0.0870000	0.003	0.644	0.009	2.210	0.080	16.360	0.230	-908	0.087
0.0970000	0.003	0.706	0.009	2.460	0.080	17.930	0.230	-909	0.097
0.0970000	0.003	0.755	0.009	2.460	0.080	19.180	0.230	-910	0.097
0.1160000	0.116	0.863	0.009	2.950	0.100	21.920	0.230	-911	0.116
0.1160000	0.116	0.924	0.009	2.950	0.100	23.470	0.230	-912	0.116
0.1160000	0.116	0.986	0.010	2.950	0.100	25.040	0.250	-913	0.116
0.1160000	0.116	1.047	0.010	2.950	0.100	26.590	0.250	-914	0.116
0.1160000	0.116	1.171	0.010	2.950	0.100	29.740	0.250	-916	0.116
0.1160000	0.116	1.355	0.012	2.950	0.100	34.420	0.300	-918	0.116
0.1180000	0.116	1.475	0.014	3.000	0.100	37.470	0.360	-920	0.118
0.1180000	0.116	1.720	0.014	3.000	0.100	43.690	0.360	-924	0.118
0.1180000	0.116	2.090	0.018	3.000	0.100	53.090	0.460	-928	0.118
0.1180000	0.116	2.337	0.018	3.000	0.100	59.360	0.460	-932	0.118
